OnsetTime	OffsetTime	MidiPitch
30.6927	31.7637	40
30.7167	31.7637	49
30.7447	31.7637	52
30.7697	31.7087	57
30.7907	31.6167	64
30.8187	31.7637	69
30.8437	31.7637	73
30.8677	31.7637	81
31.5227	31.7637	62
31.6167	31.7637	64
31.7087	32.4817	57
32.4007	33.4898	40
32.4287	33.4898	49
32.4537	33.4898	52
32.4817	33.2468	57
32.5058	33.4898	64
32.5338	33.4898	69
32.5548	33.4898	73
32.5857	33.4898	81
33.2468	33.4898	57
33.4578	34.9098	60
34.1648	35.2778	40
34.1918	35.2778	48
34.2178	35.2778	51
34.2448	35.2778	57
34.2728	35.2778	66
34.2978	35.2778	72
34.3258	35.2778	75
34.3568	35.2778	81
34.7038	35.1168	63
34.8128	35.0078	61
34.9098	35.2778	60
35.0078	35.2288	61
35.1168	35.2778	63
35.2288	36.7888	61
35.9388	37.1188	40
35.9708	36.9328	49
35.9988	37.1188	52
36.0238	36.9858	57
36.0518	37.1188	64
36.0798	37.0738	69
36.1078	37.1188	73
36.1388	37.1188	81
36.7888	37.0138	61
36.9058	39.8308	39
36.9328	39.8318	49
36.9608	39.8318	54
36.9858	39.5088	57
37.0138	39.5088	61
37.0458	38.7258	66
37.0738	39.5088	69
38.2598	39.5088	71
38.4138	38.5718	73
38.5718	39.5088	73
38.7258	39.5088	66
39.7468	39.8348	66
39.8348	40.6928	66
40.6958	40.9548	68
40.8008	40.9548	69
40.9098	41.3228	61
41.3228	41.5008	63
41.3988	41.5008	64
41.4728	41.8758	57
41.8758	42.0298	59
41.9458	42.0358	61
42.0118	42.3968	54
42.3978	42.5688	56
42.4668	42.5688	57
42.5298	42.9008	49
42.9048	43.0648	51
42.9678	43.0648	52
43.0268	43.3938	45
43.3948	43.5629	47
43.4578	43.5629	49
43.5209	43.8948	42
43.8948	44.0308	44
43.9589	44.0449	45
44.0209	44.3649	39
44.2949	44.4349	40
44.3649	44.5108	39
44.4349	44.5888	40
44.5108	44.6618	39
44.5888	44.7318	40
44.6618	44.8018	39
44.7318	44.8718	40
44.8018	44.9418	39
44.8718	45.0088	40
44.9418	45.0748	39
45.0088	45.1448	40
45.0748	45.1588	39
45.1448	45.2078	40
45.2078	45.3448	39
45.2748	45.4108	40
45.3448	45.4808	39
45.4108	45.5508	40
45.4808	45.6138	39
45.5508	45.6838	40
45.6138	45.7478	39
45.6838	45.8168	40
45.7478	45.8798	39
45.8168	45.9428	40
45.8798	46.0128	39
45.9428	46.0768	40
46.0128	46.1458	39
46.0768	46.2498	40
46.1458	46.2498	39
46.2228	46.3128	38
46.2958	46.3978	39
46.3758	46.4708	40
46.4608	46.5558	39
46.5378	46.6348	37
46.6138	46.7158	35
46.6988	46.7898	33
46.7788	46.8738	32
46.8528	46.9498	33
46.9358	47.1858	29
47.1888	47.2998	30
47.2828	47.4058	32
47.3879	47.5108	33
47.4928	47.6148	35
47.5938	47.6958	37
47.6969	47.8189	39
47.8008	47.9159	40
47.8989	48.0149	42
47.9969	48.1129	44
48.0949	48.2139	45
48.1959	48.3119	47
48.2869	48.4029	49
48.3859	48.5049	51
48.4799	48.5949	52
48.5779	48.6939	48
48.6799	48.7879	51
48.7709	48.8859	49
48.8679	48.9839	47
48.9629	49.0789	45
49.0609	49.1799	44
49.1589	49.2809	45
49.2569	49.3799	41
49.3619	49.4849	42
49.4639	49.5889	43
49.5679	49.6769	44
49.6769	50.5339	44
50.3389	50.6679	32
50.8319	50.9659	85
50.8329	50.9649	88
50.8329	50.9689	76
50.8349	50.9719	64
50.8359	50.9689	73
50.8359	50.9699	61
50.9649	52.3579	88
50.9659	52.3579	85
50.9689	52.3579	76
50.9689	52.3579	73
50.9699	52.3579	61
50.9719	52.3579	64
52.3519	52.4809	87
52.3549	52.4809	83
52.3549	52.4839	75
52.3549	52.4839	71
52.3559	52.4849	59
52.3569	52.4849	63
52.4809	52.8409	87
52.4809	52.8409	83
52.4839	52.8409	75
52.4839	52.8409	71
52.4849	52.8409	59
52.4849	52.8409	63
52.8349	52.9429	85
52.8359	52.9459	81
52.8369	52.9459	73
52.8379	52.9469	69
52.8379	52.9499	57
52.8409	52.9499	61
52.9509	53.2929	81
52.9529	53.2999	85
52.9529	53.2999	73
52.9539	53.2959	69
52.9539	53.2999	57
52.9569	53.2999	61
53.2929	53.3969	81
53.2959	53.3979	78
53.2959	53.3979	69
53.2959	53.4019	66
53.2969	53.4019	54
53.2999	53.4019	57
53.4039	53.7408	81
53.4049	53.7408	78
53.4049	53.7408	69
53.4059	53.7408	66
53.4089	53.7408	54
53.4089	53.7408	57
53.7338	53.8388	80
53.7348	53.8398	76
53.7368	53.8398	68
53.7379	53.8418	64
53.7379	53.8418	52
53.7398	53.8428	56
53.8428	54.1708	80
53.8458	54.1638	76
53.8468	54.1708	68
53.8468	54.1648	64
53.8488	54.1708	52
53.8488	54.1708	56
54.1638	54.2758	76
54.1648	54.2738	73
54.1648	54.2758	64
54.1678	54.2768	61
54.1688	54.2768	49
54.1708	54.2798	52
54.2738	54.5988	73
54.2758	54.5988	76
54.2758	54.5988	64
54.2768	54.5988	61
54.2768	54.5988	49
54.2798	54.5988	52
54.5948	54.6918	75
54.5948	54.6928	71
54.5958	54.6928	63
54.5978	54.6938	59
54.5978	54.6958	47
54.5988	54.6968	51
54.6968	55.0188	75
54.6998	55.0188	71
54.6998	55.0188	63
54.6998	55.0188	59
54.7028	55.0188	47
54.7038	55.0188	51
55.0118	55.1158	73
55.0128	55.1168	69
55.0138	55.1198	61
55.0148	55.1208	57
55.0148	55.1208	45
55.0148	55.1218	49
55.1218	55.4418	73
55.1228	55.4338	69
55.1238	55.4418	61
55.1238	55.4378	57
55.1268	55.4388	45
55.1278	55.4418	49
55.4338	55.5328	69
55.4348	55.5328	66
55.4378	55.5358	57
55.4388	55.5358	54
55.4388	55.5368	42
55.4388	55.5368	45
55.5398	55.8658	69
55.5408	55.8658	66
55.5408	55.8658	57
55.5428	55.8658	54
55.5428	55.8658	42
55.5438	55.8658	45
55.8578	55.9638	68
55.8588	55.9648	64
55.8618	55.9658	56
55.8618	55.9668	52
55.8648	55.9668	40
55.8648	55.9668	44
55.9638	56.2888	68
55.9648	56.2818	64
55.9658	56.2888	56
55.9668	56.2858	52
55.9668	56.2888	40
55.9668	56.2888	44
56.2818	56.3828	64
56.2858	56.3838	61
56.2858	56.3838	52
56.2858	56.3848	49
56.2868	56.3858	37
56.2888	56.3868	40
56.3868	56.7058	64
56.3878	56.7058	61
56.3898	56.7058	52
56.3908	56.7058	49
56.3908	56.7058	37
56.3908	56.7058	40
56.6988	56.8068	63
56.7018	56.8078	59
56.7018	56.8078	51
56.7018	56.8078	47
56.7048	56.8098	35
56.7058	56.8098	39
56.8068	57.1428	63
56.8078	57.1428	59
56.8078	57.1428	51
56.8078	57.1428	47
56.8098	57.1428	35
56.8098	57.1428	39
57.1368	57.2528	61
57.1368	57.2548	57
57.1388	57.2548	49
57.1388	57.2548	45
57.1398	57.2558	33
57.1398	57.2578	40
57.2528	58.2108	61
57.2548	58.2108	49
57.2548	58.1998	57
57.2548	58.2108	45
57.2558	58.2108	33
57.2578	58.2108	40
57.7198	58.2108	43
57.7208	58.2108	31
58.1968	59.2187	62
58.1978	59.2208	50
58.1998	59.2208	53
58.1998	59.2158	57
58.2038	59.2208	41
58.2038	59.2208	29
58.6998	59.2208	40
58.7008	59.2208	28
59.2148	60.2747	66
59.2148	60.2577	54
59.2158	60.2747	57
59.2187	60.2747	62
59.2187	60.2747	38
59.2187	60.2747	26
59.7328	60.2747	25
60.2577	65.3957	68
60.2577	65.3957	54
60.2607	64.3947	56
60.2617	65.3957	60
60.2617	65.3957	63
60.2617	60.7647	36
60.2637	60.7647	24
60.6567	62.2907	45
60.6577	62.2917	33
62.2917	63.5967	44
62.2947	63.5977	32
64.2897	64.3917	61
64.3917	65.3957	61
64.3947	65.3957	56
64.3947	65.3957	52
64.3947	65.4757	49
64.3957	65.4797	37
64.3987	65.4807	44
65.3807	65.4807	66
65.4807	66.4947	66
65.4837	66.4947	57
65.4837	66.4947	54
65.4837	66.5677	51
65.4867	66.5717	36
65.4877	66.5717	45
66.4737	66.5727	64
66.5727	67.0717	64
66.5747	67.0717	56
66.5747	67.0717	52
66.5757	67.1487	49
66.5787	67.1497	37
66.5787	67.1527	44
67.0477	67.1537	63
67.1537	67.6467	63
67.1547	67.6467	54
67.1557	67.6467	51
67.1567	67.7227	45
67.1567	67.7237	30
67.1597	67.7237	42
67.6247	67.7267	61
67.7267	68.2307	61
67.7297	68.2307	52
67.7307	68.2307	49
67.7307	68.2767	44
67.7317	68.2767	32
67.7327	68.2777	40
68.1817	68.2777	60
68.2797	68.7907	60
68.2797	68.7907	51
68.2807	68.7907	48
68.2837	68.8677	44
68.2837	68.8677	42
68.2837	68.8687	39
68.2867	68.8707	32
68.7727	68.8707	61
68.8717	69.2667	61
68.8747	69.2667	52
68.8747	69.2707	49
68.8757	69.2707	37
68.8777	69.2717	40
68.8777	69.2737	44
69.4657	69.6617	49
69.6627	70.9396	45
69.6647	69.8827	51
69.6657	70.9396	30
69.6657	70.9396	37
69.6667	70.9396	42
69.7737	69.9806	49
69.8827	70.0827	51
69.9806	70.1806	49
70.0827	70.2786	51
70.1806	70.3796	49
70.2786	70.4706	51
70.3796	70.5686	49
70.4706	70.9396	51
70.5686	70.7887	49
70.6746	70.9396	48
70.7887	70.9396	49
70.9076	71.3737	52
71.0516	71.3737	51
71.1957	71.3467	49
71.3467	71.5597	44
71.3467	71.5597	49
71.3487	71.6077	37
71.3487	71.6087	40
72.6407	72.7347	68
72.7347	73.7437	68
72.7357	73.7437	63
72.7387	73.7437	59
72.7387	73.8237	56
72.7397	73.8277	44
72.7397	73.8277	51
73.7327	73.8277	73
73.8307	74.8977	73
73.8307	74.8977	64
73.8307	74.8977	61
73.8317	74.9787	58
73.8347	74.9797	43
73.8347	74.9817	52
74.8807	74.9817	71
74.9857	75.4617	71
74.9867	75.4617	63
74.9867	75.4617	59
74.9887	75.5317	56
74.9887	75.5327	44
74.9897	75.5327	51
75.4437	75.5346	69
75.5357	75.9936	69
75.5357	75.9936	61
75.5386	75.9936	57
75.5397	76.0606	52
75.5397	76.0606	37
75.5397	76.0616	49
75.9726	76.0636	56
75.9736	76.0636	68
76.0636	76.5636	68
76.0646	76.5636	59
76.0676	76.5636	56
76.0676	76.6166	51
76.0686	76.6176	39
76.0706	76.6196	47
76.5216	76.6196	67
76.6206	77.1376	67
76.6236	77.1376	58
76.6236	77.1376	55
76.6246	77.2216	51
76.6266	77.2226	49
76.6266	77.2226	46
76.6276	77.2256	39
77.1126	77.2256	68
77.2266	77.6136	68
77.2266	77.6146	59
77.2286	77.6176	56
77.2286	77.6186	44
77.2296	77.6206	47
77.2296	77.6206	51
77.8136	78.0096	56
78.0136	79.2876	52
78.0136	78.2276	58
78.0146	79.2876	37
78.0146	78.2296	46
78.1216	78.3246	56
78.1256	78.3286	44
78.2276	78.4296	58
78.2296	78.4336	46
78.3246	78.5306	56
78.3286	78.5316	44
78.4296	78.6266	58
78.4336	78.6296	46
78.5306	78.7266	56
78.5316	78.7276	44
78.6266	78.8256	58
78.6296	78.8256	46
78.7266	78.9196	56
78.7276	78.9196	44
78.8256	79.2876	58
78.8256	79.2876	46
78.9196	79.1396	56
78.9196	79.1406	44
79.0286	79.2876	55
79.0296	79.2876	43
79.1396	79.2876	56
79.1406	79.2876	44
79.2566	79.7166	59
79.2596	79.7006	47
79.3996	79.7166	58
79.3996	79.7166	46
79.5436	79.7036	56
79.5456	79.7066	44
79.7006	79.9206	47
79.7026	79.9206	51
79.7036	79.9206	56
79.7036	79.9316	32
79.7046	79.9316	39
79.7066	79.9326	44
81.2156	81.6846	68
81.3866	84.9396	40
81.4476	84.9426	47
81.5096	84.9436	56
81.5696	84.9436	59
81.6256	83.4106	64
81.6846	84.7616	68
82.9136	84.7616	69
83.1206	83.3056	71
83.3056	84.7616	71
83.4106	84.9466	64
84.7396	84.9476	63
84.9476	86.9096	63
84.9496	86.9096	51
84.9506	86.9096	35
85.1076	86.9096	57
85.1116	86.0636	66
85.8526	86.6196	64
86.0636	86.4356	66
86.2766	86.9096	68
86.4356	86.9096	66
86.6196	86.8476	64
86.8446	88.4636	56
86.8476	88.4646	64
86.8476	88.4676	47
86.8486	88.4676	40
88.5176	88.6786	68
88.5176	88.6786	59
88.5176	88.6816	64
88.5196	88.6846	52
88.6786	90.0566	68
88.6786	90.0546	59
88.6816	90.3226	64
88.6816	90.3226	40
88.6826	90.3226	47
88.6846	90.2926	52
89.8686	90.2916	69
89.8696	90.3226	66
89.8706	90.3226	54
89.8746	90.2946	57
90.0536	90.3226	71
90.0546	90.3226	59
90.0566	90.3226	68
90.0566	90.3226	56
90.2876	90.8376	73
90.2886	90.8406	61
90.2916	90.8416	69
90.2916	91.8166	45
90.2926	91.8166	52
90.2946	90.8416	57
90.8376	91.0826	73
90.8406	91.0826	61
90.8416	91.0826	69
90.8416	91.0856	57
91.0826	91.8166	73
91.0826	91.8166	61
91.0826	91.8166	69
91.0856	91.8166	57
91.3096	91.8106	71
91.3096	91.8135	59
91.3106	91.8146	68
91.3136	91.8146	56
91.5406	91.8166	70
91.5416	91.8166	58
91.5436	91.8166	67
91.5436	91.8166	55
91.8106	92.5625	71
91.8135	92.5625	59
91.8146	92.5625	68
91.8146	92.5555	56
91.8146	92.5625	44
91.8166	92.5565	52
92.5525	92.9595	64
92.5555	93.3815	56
92.5555	93.3815	61
92.5565	93.3815	52
92.5565	93.3815	37
92.8535	93.2595	63
92.9595	93.1655	64
93.0555	93.3815	66
93.1655	93.3815	64
93.2595	93.3645	63
93.3645	94.1235	63
93.3675	94.1135	57
93.3685	94.1235	54
93.3685	94.1235	35
93.9175	94.1235	64
93.9805	94.1235	68
94.1125	95.0195	66
94.1135	95.0195	57
94.1135	95.0195	51
94.1135	95.0055	47
94.7405	95.0015	64
95.0015	96.5985	64
95.0025	96.5985	56
95.0025	96.5985	52
95.0025	96.5985	40
95.0055	96.5985	47
98.2335	98.6455	76
98.4745	99.0725	64
98.5305	100.329	68
98.5895	100.329	73
98.6455	100.329	76
98.6465	100.276	37
99.0725	100.329	64
99.0735	100.329	61
99.0765	100.329	56
99.0765	100.329	52
99.8785	100.329	78
100.081	100.273	80
100.273	100.374	80
100.276	101.722	37
100.378	101.722	73
100.689	101.91	68
100.693	101.911	64
100.693	101.911	61
100.694	101.911	56
101.701	101.914	72
101.915	103.598	72
101.949	102.426	60
101.995	103.846	66
102.037	103.8	68
102.079	102.992	75
102.079	103.846	32
102.079	103.846	44
102.422	103.846	54
102.426	103.846	56
102.426	103.846	60
102.427	103.846	63
102.838	103.44	73
102.992	103.287	75
103.133	103.846	76
103.287	103.377	75
103.377	103.846	75
103.44	103.828	73
103.598	103.846	72
103.777	104.238	64
103.8	105.316	68
103.828	105.316	73
103.828	105.316	37
103.832	105.309	49
104.235	105.316	52
104.236	105.309	56
104.236	105.306	61
104.238	105.316	64
105.302	105.519	65
105.306	105.52	59
105.306	105.52	61
105.309	105.523	56
105.309	105.523	49
105.526	106.678	66
105.527	107.511	57
105.527	107.511	61
105.527	107.511	54
105.53	107.511	42
105.531	107.511	49
106.675	107.081	81
106.677	107.082	69
106.678	107.081	78
106.678	107.083	66
107.081	107.511	78
107.081	107.511	81
107.082	107.511	69
107.083	107.511	66
107.371	107.463	80
107.371	107.463	68
107.372	107.465	76
107.374	107.465	64
107.463	107.77	80
107.463	107.773	68
107.465	107.774	76
107.465	107.777	64
107.777	107.889	78
107.778	107.889	66
107.778	107.89	75
107.78	107.892	63
107.892	108.399	78
107.893	108.4	66
107.893	108.4	75
107.896	108.4	63
108.998	109.152	75
108.999	109.156	66
108.999	109.156	69
109	109.156	63
109.001	109.159	54
109.002	109.159	57
109.16	110.059	44
109.205	109.741	76
109.212	110.035	64
109.212	110.035	68
109.212	110.059	61
109.645	110.035	75
109.741	109.933	76
109.842	110.059	78
109.933	110.059	76
110.035	110.437	75
110.035	110.437	68
110.035	110.44	64
110.038	110.44	56
110.639	110.843	73
110.79	111.612	44
110.843	111.612	75
110.847	111.606	66
110.847	111.231	68
110.848	111.612	60
111.231	111.612	68
111.606	112.173	80
111.606	112.173	66
111.607	112.173	72
111.609	111.984	63
111.61	111.987	56
112.177	112.362	72
112.365	112.922	73
112.366	113.187	64
112.369	113.178	68
112.369	113.187	61
112.37	113.187	49
112.372	113.187	56
112.803	113.187	72
112.922	113.175	73
113.051	113.187	75
113.175	114.045	73
113.178	114.059	63
113.178	114.049	68
113.179	114.059	54
113.179	114.059	44
113.783	114.059	72
114.045	114.927	73
114.049	114.927	61
114.049	114.927	68
114.049	114.927	52
114.05	114.927	37
115.712	115.806	61
115.806	117.066	61
115.807	117.066	56
115.809	117.066	52
115.81	117.066	49
115.81	117.066	37
115.956	117.066	48
116.118	117.066	47
116.271	117.066	46
116.429	117.056	45
116.579	116.895	44
116.737	117.066	43
116.895	117.066	44
116.943	117.052	66
117.052	118.302	66
117.053	118.302	57
117.056	118.302	54
117.056	118.302	45
117.056	118.14	36
117.207	118.302	44
117.357	118.302	43
117.515	118.302	42
117.672	118.302	41
117.826	118.302	40
117.98	118.302	39
118.14	118.302	36
118.186	118.292	64
118.292	119.029	64
118.295	119.029	56
118.295	119.029	52
118.296	119.029	37
118.459	119.029	38
118.627	119.029	39
118.799	119.029	40
118.854	118.967	63
118.967	119.708	63
118.97	119.708	54
118.97	119.708	51
118.97	119.131	41
118.971	119.708	30
119.132	119.474	42
119.303	119.708	41
119.474	119.708	42
119.526	119.643	49
119.526	119.642	61
119.642	120.38	61
119.642	120.38	52
119.643	120.38	49
119.645	119.799	43
119.8	120.125	44
119.957	120.38	43
120.125	120.38	44
120.17	120.283	60
120.283	120.832	60
120.285	120.832	51
120.286	120.832	48
120.286	120.436	45
120.437	120.756	44
120.597	120.832	45
120.756	120.915	44
120.807	120.916	61
120.917	121.308	61
120.917	121.311	52
120.92	121.312	49
120.92	121.312	37
120.921	121.315	40
120.921	121.315	44
121.703	122.753	45
121.704	121.935	51
121.707	122.256	30
121.708	121.935	39
121.822	122.05	49
121.822	122.051	37
121.935	122.256	51
121.935	122.256	39
122.05	122.256	49
122.051	122.256	37
122.176	122.273	48
122.18	122.274	36
122.274	123.203	49
122.277	123.204	37
122.373	123.117	51
122.375	123.118	39
122.473	123.024	52
122.473	123.026	40
122.568	122.931	54
122.571	122.932	42
122.666	122.841	56
122.667	122.845	44
122.751	123.334	57
122.753	123.334	45
122.841	123.334	56
122.845	123.334	44
122.931	123.334	54
122.932	123.334	42
123.024	123.334	52
123.026	123.334	40
123.117	123.334	51
123.118	123.334	39
123.203	123.334	49
123.204	123.334	37
123.296	123.996	48
123.299	123.996	36
123.383	123.779	49
123.384	123.78	37
123.483	123.675	51
123.485	123.676	39
123.58	123.996	52
123.582	123.965	40
123.675	123.996	51
123.676	123.996	39
123.779	123.965	49
123.78	123.996	37
123.804	124.559	25
123.964	124.559	44
123.965	124.559	49
123.965	124.559	40
125.301	125.396	68
125.396	126.673	68
125.399	126.673	63
125.399	126.673	59
125.399	126.673	56
125.4	126.673	44
125.554	126.673	55
125.711	126.673	54
125.869	126.673	53
126.029	126.663	52
126.187	126.502	51
126.341	126.673	50
126.502	126.673	51
126.551	126.659	73
126.659	127.954	73
126.66	127.954	64
126.66	127.954	61
126.663	127.77	43
126.663	127.954	52
126.821	127.954	51
126.975	127.954	50
127.132	127.954	49
127.29	127.954	48
127.447	127.954	47
127.609	127.954	46
127.77	127.954	43
127.817	127.924	71
127.924	128.648	71
127.924	128.648	63
127.926	128.648	59
127.927	128.648	44
128.095	128.648	45
128.267	128.648	46
128.441	128.648	47
128.497	128.609	69
128.609	129.33	69
128.61	129.33	61
128.612	129.33	57
128.612	129.33	37
128.613	128.781	48
128.781	129.127	49
128.952	129.33	48
129.127	129.33	49
129.179	129.295	68
129.295	129.939	68
129.295	129.939	59
129.296	129.939	56
129.299	129.448	50
129.449	129.754	51
129.6	129.939	50
129.754	129.939	51
129.802	129.908	67
129.908	130.457	67
129.908	130.457	58
129.911	130.457	55
129.912	130.061	52
130.064	130.38	51
130.222	130.457	52
130.38	130.537	51
130.429	130.541	68
130.542	131.867	68
130.542	131.867	59
130.544	131.447	56
130.545	131.448	44
